Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
XGBClassifier,0.8356718192627824,0.6719398625213389,,0.8305019898980378,21.546281814575195
LinearDiscriminantAnalysis,0.667538644470868,0.668809690508815,,0.676384919971667,0.7551100254058838
ExtraTreesClassifier,0.8137931034482758,0.6504655795803037,,0.8010627042467874,2.468411922454834
LGBMClassifier,0.826872770511296,0.6356165342092284,,0.8215928899233943,32.09671902656555
LabelPropagation,0.6982164090368609,0.6113659335330068,,0.6986442617325075,3.4480032920837402
LabelSpreading,0.6979785969084423,0.6113386372316557,,0.6984346208330933,9.700768947601318
RandomForestClassifier,0.8099881093935791,0.598649734533745,,0.7973174313723085,11.285154104232788
LinearSVC,0.771462544589774,0.5946087864017928,,0.7600433114658522,9.859430074691772
BaggingClassifier,0.7800237812128419,0.5908777448943634,,0.7664194546894397,17.979161262512207
KNeighborsClassifier,0.7336504161712247,0.5782256111401198,,0.7234781958416596,0.2965719699859619
DecisionTreeClassifier,0.6868014268727705,0.5741203435167174,,0.6875149922449698,2.725886106491089
CalibratedClassifierCV,0.7671819262782402,0.532578345407083,,0.7520795530637876,33.69244074821472
ExtraTreeClassifier,0.6508917954815696,0.5306600436859633,,0.6513981529846676,0.07830214500427246
LogisticRegression,0.7498216409036861,0.5265328116344301,,0.7403541422925827,4.892059803009033
GaussianNB,0.2920332936979786,0.5127225139318923,,0.27568798139229583,0.08953428268432617
BernoulliNB,0.2734839476813318,0.49814125856890085,,0.2286286248199267,0.11848616600036621
Perceptron,0.6585017835909631,0.4744228241333481,,0.655830668967523,1.5500669479370117
NearestCentroid,0.25065398335315103,0.47214873129712426,,0.2414625150064802,0.1029362678527832
SVC,0.7536266349583829,0.46690258517744754,,0.7288340886312514,20.319482803344727
PassiveAggressiveClassifier,0.6637336504161713,0.38175248094175057,,0.6271289083658604,1.9814720153808594
SGDClassifier,0.6606420927467301,0.3784661185511394,,0.6348580351075929,13.068748950958252
QuadraticDiscriminantAnalysis,0.6175980975029727,0.3708931515187443,,0.6095705977326091,3.4327123165130615
RidgeClassifier,0.6549346016646849,0.24811954762015698,,0.5977044401939701,0.19405388832092285
RidgeClassifierCV,0.6549346016646849,0.24811954762015698,,0.5977044401939701,3.5564463138580322
AdaBoostClassifier,0.47443519619500596,0.11047281947775389,,0.42305198738254307,7.471465110778809
DummyClassifier,0.5124851367419738,0.058823529411764705,,0.3472973175091049,0.05318903923034668
