Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LinearDiscriminantAnalysis,0.9502762430939227,0.9721837341402559,,0.9500365385938283,1.7718582153320312
RidgeClassifierCV,0.9005524861878453,0.8349268284050892,,0.8952606612908346,0.6286671161651611
LinearSVC,0.8232044198895028,0.7903451644500238,,0.8258745026377565,17.174527168273926
ExtraTreesClassifier,0.8839779005524862,0.7885318006801383,,0.879578633474747,0.2703869342803955
RandomForestClassifier,0.8784530386740331,0.7841074668440398,,0.8731277554835647,1.2227399349212646
RidgeClassifier,0.8232044198895028,0.6980264643947509,,0.8126972360411123,0.1623060703277588
CalibratedClassifierCV,0.8232044198895028,0.6848738845222222,,0.8154055628495872,79.49399018287659
BaggingClassifier,0.8287292817679558,0.6718001024267009,,0.8212295197670563,4.782335996627808
ExtraTreeClassifier,0.8342541436464088,0.6584367228868508,,0.8274982351103279,0.03325200080871582
DecisionTreeClassifier,0.7624309392265194,0.6534571613855502,,0.7583908582991861,1.1096057891845703
LogisticRegression,0.7569060773480663,0.6327971024901972,,0.7421713392291407,3.1614270210266113
LGBMClassifier,0.8397790055248618,0.6217187023453008,,0.8310787779734956,33.18734812736511
XGBClassifier,0.850828729281768,0.5937922809406185,,0.8310354702738285,23.730521202087402
PassiveAggressiveClassifier,0.6740331491712708,0.575651786169689,,0.6887528456245194,1.8106660842895508
KNeighborsClassifier,0.6629834254143646,0.5554172560886116,,0.642142483692935,0.06429004669189453
SGDClassifier,0.5911602209944752,0.5239445443729331,,0.5891787851662372,0.733025074005127
GaussianNB,0.430939226519337,0.5205997895256207,,0.4100468887673092,0.047863006591796875
SVC,0.6022099447513812,0.4416207229826156,,0.5708770624371456,0.7104690074920654
LabelSpreading,0.6629834254143646,0.422473956137639,,0.6861100527012666,0.2902860641479492
LabelPropagation,0.6629834254143646,0.422473956137639,,0.6861100527012666,0.3151671886444092
NearestCentroid,0.3425414364640884,0.410767528862158,,0.32377763030841866,0.06867480278015137
Perceptron,0.48066298342541436,0.3858512970405553,,0.4945447290717575,0.575416088104248
BernoulliNB,0.3370165745856354,0.32537168713639303,,0.309557059631949,0.09841299057006836
QuadraticDiscriminantAnalysis,0.35359116022099446,0.22257670812658029,,0.3226190668346376,1.2541389465332031
AdaBoostClassifier,0.23756906077348067,0.10052910052910052,,0.12003157063930545,6.016077041625977
DummyClassifier,0.143646408839779,0.05555555555555555,,0.03608508821095898,0.030724048614501953
